year,state,operas,post1801,copyright,copyright_post1801
1802,Duchy_Parma,2,1,0,0
1802,Due_Sicilie,13,1,0,0
1802,Lombardia,5,1,1,1
1802,Papal,5,1,0,0
1802,Sardinia,3,1,0,0
1802,Toscana,4,1,0,0
1802,Venetia,1,1,1,1
1803,Duchy_Modena,0,1,0,0
1803,Duchy_Parma,0,1,0,0
1803,Due_Sicilie,9,1,0,0
1803,Lombardia,5,1,1,1
1803,Papal,5,1,0,0
1803,Sardinia,4,1,0,0
1803,Toscana,4,1,0,0
1803,Venetia,4,1,1,1
1804,Duchy_Modena,0,1,0,0
1804,Duchy_Parma,1,1,0,0
1804,Due_Sicilie,7,1,0,0
1804,Lombardia,8,1,1,1
1804,Papal,8,1,0,0
1804,Sardinia,1,1,0,0
1804,Toscana,3,1,0,0
1804,Venetia,3,1,1,1
1805,Duchy_Modena,0,1,0,0
1805,Duchy_Parma,0,1,0,0
1805,Due_Sicilie,8,1,0,0
1805,Lombardia,7,1,1,1
1805,Papal,9,1,0,0
1805,Sardinia,2,1,0,0
1805,Toscana,3,1,0,0
1805,Venetia,4,1,1,1
1806,Duchy_Modena,0,1,0,0
1806,Duchy_Parma,0,1,0,0
1806,Due_Sicilie,8,1,0,0
1806,Lombardia,4,1,1,1
1806,Papal,6,1,0,0
1806,Sardinia,1,1,0,0
1806,Toscana,4,1,0,0
1806,Venetia,3,1,1,1
1807,Duchy_Modena,0,1,0,0
1807,Duchy_Parma,0,1,0,0
1807,Due_Sicilie,8,1,0,0
1807,Lombardia,1,1,1,1
1807,Papal,8,1,0,0
1807,Sardinia,0,1,0,0
1807,Toscana,2,1,0,0
1807,Venetia,4,1,1,1
1808,Duchy_Modena,0,1,0,0
1808,Duchy_Parma,4,1,0,0
1808,Due_Sicilie,10,1,0,0
1808,Lombardia,7,1,1,1
1808,Papal,9,1,0,0
1808,Sardinia,5,1,0,0
1808,Toscana,5,1,0,0
1808,Venetia,1,1,1,1
1809,Duchy_Modena,0,1,0,0
1809,Duchy_Parma,2,1,0,0
1809,Due_Sicilie,6,1,0,0
1809,Lombardia,6,1,1,1
1809,Papal,6,1,0,0
1809,Sardinia,3,1,0,0
1809,Toscana,1,1,0,0
1809,Venetia,3,1,1,1
1810,Duchy_Modena,0,1,0,0
1810,Duchy_Parma,0,1,0,0
1810,Due_Sicilie,13,1,0,0
1810,Lombardia,10,1,1,1
1810,Papal,7,1,0,0
1810,Sardinia,4,1,0,0
1810,Toscana,5,1,0,0
1810,Venetia,1,1,1,1
1811,Duchy_Modena,0,1,0,0
1811,Duchy_Parma,1,1,0,0
1811,Due_Sicilie,14,1,0,0
1811,Lombardia,12,1,1,1
1811,Papal,6,1,0,0
1811,Sardinia,2,1,0,0
1811,Toscana,2,1,0,0
1811,Venetia,0,1,1,1
1812,Duchy_Modena,0,1,0,0
1812,Duchy_Parma,4,1,0,0
1812,Due_Sicilie,12,1,0,0
1812,Lombardia,8,1,1,1
1812,Papal,5,1,0,0
1812,Sardinia,2,1,0,0
1812,Toscana,1,1,0,0
1812,Venetia,0,1,1,1
1813,Duchy_Modena,0,1,0,0
1813,Duchy_Parma,2,1,0,0
1813,Due_Sicilie,10,1,0,0
1813,Lombardia,8,1,1,1
1813,Papal,5,1,0,0
1813,Sardinia,2,1,0,0
1813,Toscana,1,1,0,0
1813,Venetia,0,1,1,1
1814,Duchy_Modena,0,1,0,0
1814,Duchy_Parma,3,1,0,0
1814,Due_Sicilie,10,1,0,0
1814,Lombardia,12,1,1,1
1814,Papal,3,1,0,0
1814,Sardinia,3,1,0,0
1814,Toscana,6,1,0,0
1814,Venetia,0,1,1,1
1815,Duchy_Modena,0,1,0,0
1815,Duchy_Parma,2,1,0,0
1815,Due_Sicilie,8,1,0,0
1815,Lombardia,4,1,1,1
1815,Papal,3,1,0,0
1815,Sardinia,1,1,0,0
1815,Toscana,3,1,0,0
1815,Venetia,1,1,1,1
1816,Duchy_Modena,0,1,0,0
1816,Duchy_Parma,0,1,0,0
1816,Due_Sicilie,9,1,0,0
1816,Lombardia,9,1,1,1
1816,Papal,5,1,0,0
1816,Sardinia,2,1,0,0
1816,Toscana,1,1,0,0
1816,Venetia,1,1,1,1
1817,Duchy_Modena,0,1,0,0
1817,Duchy_Parma,0,1,0,0
1817,Due_Sicilie,8,1,0,0
1817,Lombardia,9,1,1,1
1817,Papal,10,1,0,0
1817,Sardinia,3,1,0,0
1817,Toscana,3,1,0,0
1817,Venetia,0,1,1,1
1818,Duchy_Modena,1,1,0,0
1818,Duchy_Parma,0,1,0,0
1818,Due_Sicilie,8,1,0,0
1818,Lombardia,3,1,1,1
1818,Papal,5,1,0,0
1818,Sardinia,3,1,0,0
1818,Toscana,1,1,0,0
1818,Venetia,2,1,1,1
1819,Duchy_Modena,0,1,0,0
1819,Duchy_Parma,0,1,0,0
1819,Due_Sicilie,9,1,0,0
1819,Lombardia,7,1,1,1
1819,Papal,4,1,0,0
1819,Sardinia,1,1,0,0
1819,Toscana,1,1,0,0
1819,Venetia,2,1,1,1
1820,Duchy_Modena,1,1,0,0
1820,Duchy_Parma,0,1,0,0
1820,Due_Sicilie,11,1,0,0
1820,Lombardia,5,1,1,1
1820,Papal,6,1,0,0
1820,Sardinia,2,1,0,0
1820,Toscana,0,1,0,0
1820,Venetia,3,1,1,1
